id,domain,requirement,classification,priority,preliminary_static_disposition,inventory_signal,required_next_verification,source_requirement_ids,final_audit_status,auditor_notes
PAY-010,Payments,"Use an append-only or equivalently auditable credit ledger with exact amounts, current derived balance, concurrency-safe spend, idempotent issuance/reversal, and clear linkage to booking/refund/admin causes.",MUST,P0,STATIC EVIDENCE PRESENT,"Payments and Financial Workflows line 174: Official cancellation refund admin cancellation execute official game cancellation, succeeded booking payments RAA Refund.create if charge exists Refund, booking/payment status, credit usage, money issues idempotency game_cancel:{game}:payment:{payment}:refund; dedupe existing active refund refun... | Payments and Financial Workflows line 60: GET /game-credits list_game_credits Credit ledger optional user_id list GCU service self/admin check self or admin for other user none list_game_credits_for_user game_credit_routes.py:41-47; game_credit_service.py:120-159 CONFIRMED",CODE; SCHEMA; CONCURRENCY TEST,FIN-017–021,NOT AUDITED,
PAY-011,Payments,"Protect high-risk financial administration with action-specific permission, reauthentication/MFA, reason, preview/confirmation, current-state checks, idempotency, audit, and risk-based dual approval.",MUST,P0,MIXED / PARTIAL STATIC EVIDENCE,"Admin/Moderation/Audit/Notices, Part 1 line 175: admin_actions audit record admin_user_id, action_type, targets, reason, metadata, idempotency admin FK RESTRICT; target-required/action-type checks; many idempotency indexes admin/action/target/history indexes none created_at admin_action_model.py:15, 84, 407 CONFIRMED | Database Foundation and Migrations, Part 1 line 145: Admin actions nullable idempotency_key plus scoped partial unique indexes Many action-specific partial unique indexes Admin action builder stores normalized key. admin_action_model.py:136-180,360-405,521; admin_action_service.py:487-547 CONFIRMED",CODE; RUNTIME; PROCESS,FIN-022–025; ADMIN-010–012; ENF-008,NOT AUDITED,
PAY-012,Payments,"Track disputes and asynchronous reversals, and reconcile Stripe PaymentIntents, charges, refunds, disputes, local payments, bookings, and credits on a risk-based schedule and on demand.",MUST,P0,STATIC GAP INDICATED,"Payments inventory confirms payment/refund event persistence and admin repair surfaces, but no scheduled Stripe/local reconciliation processor or documented reconciliation run was found in the worker/platform inventory.",JOB; PROVIDER; PROCESS,"STRIPE-018–019; FIN-006–008, 023–025; OBS-008",NOT AUDITED,
PAY-013,Payments,"Pin and verify Stripe API/webhook versions, separate test/live settings and keys, restrict Dashboard access with MFA, monitor failed delivery and key use, and maintain emergency rotation procedures.",MUST,P0,EXTERNAL EVIDENCE REQUIRED,Payments and Financial Workflows line 124: Test/live mode Stripe service config env vars present at runtime none SDK key assignment none mode cannot be proven statically without env/Stripe stripe_service.py:56-97 NOT REPOSITORY-VERIFIABLE | Phase 1A general repository inventory line 228: Stripe webhook dashboard endpoint and enabled events NOT REPOSITORY-VERIFIABLE,PROVIDER; CONFIG; PROCESS,"STRIPE-006, 016–024; EXT-004; SECRET-001–010",NOT AUDITED,
STO-001,Storage and uploads,"Separate production and non-production R2 buckets and credentials. Use bucket-scoped least-privilege tokens, protected account access, rotation, and no frontend exposure.",MUST,P0,EXTERNAL EVIDENCE REQUIRED,"Phase 1A general repository inventory line 232: Secret rotation and production secret-manager configuration NOT REPOSITORY-VERIFIABLE | Phase 1A general repository inventory line 230: R2 bucket permissions, lifecycle, retention, public access NOT REPOSITORY-VERIFIABLE",CONFIG; PROVIDER; PROCESS,STORAGE-001–004; EXT-005; SECRET-001–010,NOT AUDITED,
STO-002,Storage and uploads,Generate opaque server-controlled object keys without user path control or unnecessary personal data. Define immutable/versioned replacement behavior and prevent collisions or overwrites.,MUST,P0,STATIC EVIDENCE PRESENT,"Venues/Images/Storage, Part 1 line 41: Object keys are generated as venues/{venue_id}/{primary|gallery-n}-{venue_image_id}.{extension}. Evidence: backend/services/venue_image_service.py:167-179. CONFIRMED | Venues/Images/Storage, Part 2 line 65: Venue images store object keys and return presigned read URLs; game images store direct image_url strings. Part 1 models/services; frontend uses both through buildMediaUrl CONFIRMED",CODE; RUNTIME,STORAGE-005–008,NOT AUDITED,
STO-003,Storage and uploads,"Issue presigned URLs only after authorization, bind them to method/key/operation, keep expiry short enough for the workflow, prevent logging, and treat them as reusable bearer credentials until expiry.",MUST,P0,STATIC EVIDENCE PRESENT,"Phase 1A general repository inventory line 128: R2 upload/read presigned URLs are supported CONFIRMED backend/services/r2_storage_service.py:145-192 | Venues/Images/Storage, Part 1 line 185: Presigned PUT create_object_upload_url key/content type generate_presigned_url(""put_object"") URL, headers, object URL, expiry wraps boto/client errors backend/services/r2_storage_service.py:145-174 CONFIRMED",CODE; CONFIG; RUNTIME,STORAGE-009–012; SENS-006,NOT AUDITED,
STO-004,Storage and uploads,"Use a staged upload workflow: authorize, create pending metadata, upload, confirm with object metadata, validate/process, then publish. Client claims alone must not activate an object.",MUST,P0,STATIC EVIDENCE PRESENT,"Venues/Images/Storage, Part 1 line 199: Pending venue upload same final key same same same upload ticket returns presigned PUT and object URL; signed URL not stored in DB none found backend/services/venue_image_service.py:332-395 CONFIRMED | Venues/Images/Storage, Part 1 line 140: File metadata request POST /admin/venues/{id}/images/upload-url active venue Admin none yet pending VenueImage prepared upload ticket requested backend/routes/venue_image_routes.py:64-80 CONFIRMED",CODE; SCHEMA; RUNTIME,STORAGE-013–018,NOT AUDITED,
STO-005,Storage and uploads,"Validate declared type, extension, magic bytes, successful image decode, size, dimensions/pixel count, decompression risk, animation/SVG policy, and metadata exposure before publication.",MUST,P0,MIXED / PARTIAL STATIC EVIDENCE,"Phase 1A general repository inventory line 129: Venue image workflow validates content type/size and verifies uploaded object CONFIRMED backend/services/venue_image_service.py:145-164, backend/services/venue_image_service.py:398-495 | Venues/Images/Storage, Part 1 line 212: Image dimensions not found not found N/A N/A no dimension validator found NOT FOUND IN SUBSYSTEM",CODE; RUNTIME; SECURITY TEST,STORAGE-019–023,NOT AUDITED,
STO-006,Storage and uploads,"Isolate and bound image processing. Re-encode or sanitize when required, strip sensitive metadata according to policy, create derived assets idempotently, and expose explicit processing failures.",MUST DECIDE,P1,STATIC GAP INDICATED,"Venues/Images/Storage inventory confirms upload metadata checks, but no image decode/re-encode/sanitization/thumbnail-processing worker or isolated processing pipeline was found.",JOB; RUNTIME,STORAGE-021–024,NOT AUDITED,
STO-007,Storage and uploads,"Classify objects as public or private. Private moderation evidence and attachments must require authorized signed access; public images need safe content type, disposition, cache, and non-guessable keys.",MUST,P0,MIXED / PARTIAL STATIC EVIDENCE,"Venues/Images/Storage, Part 1 line 96: Start venue-photo upload POST /admin/venues/{id}/images/upload-url Admin require_active_admin active venue required content type/size/role creates pending record and signed PUT URL backend/services/venue_image_service.py:307-395 CONFIRMED | Venues/Images/Storage, Part 2 line 40: Cache-control setting storage upload object cache metadata no setting found N/A none found no usage found NOT FOUND IN SUBSYSTEM",CODE; CONFIG; RUNTIME,STORAGE-025–027,NOT AUDITED,
STO-008,Storage and uploads,"Keep database metadata and R2 objects reconciled. Detect missing objects, orphan objects, failed derivatives, replacements, deleted owners, and status mismatches without unsafe automatic deletion.",MUST,P0,STATIC GAP INDICATED,"Venues/Images/Storage, Part 1 lines 234 and 256: no orphan detector or object-deletion helper was found.",JOB; SCHEMA; PROVIDER,STORAGE-028–031; OBS-009,NOT AUDITED,
STO-009,Storage and uploads,"Define deletion, cache invalidation, abandoned-upload cleanup, lifecycle rules, and recovery for originals versus replaceable derivatives. Verify public access, custom domains, CORS, token scope, usage, and deletion controls in Cloudflare.",MUST DECIDE,P1,STATIC GAP INDICATED,"Venues/Images/Storage, Part 1 lines 53-58 and Part 2 lines 60-68: DB soft deletion exists, but no R2 delete call, abandoned-upload cleanup worker, lifecycle cleanup, or cache invalidation flow was found.",CODE; JOB; PROVIDER; RECOVERY TEST,STORAGE-029–032; RECOVERY-007–009; EXT-005,NOT AUDITED,
JOB-M01,Background jobs,"Use a durable database-backed or managed queue for financial, webhook, notice, image, deletion, reconciliation, and other work that must survive process loss. In-process tasks are only for disposable work.",MUST,P0,STATIC GAP INDICATED,"Phase 1A lines 144-150 and Platform Foundation Part 1 lines 250-260: no queue framework, consumer, scheduler, notification processor, notice-delivery processor, or worker runner was found.",CODE; SCHEMA; RUNTIME,JOB-001–004; FIN-001–025,NOT AUDITED,
JOB-M02,Background jobs,"Persist job identity, type/version, safe payload/reference, status, priority, availability, attempts, lease/claim, timestamps, idempotency/correlation, and normalized failure data.",MUST,P0,STATIC GAP INDICATED,"No durable general job table/record model with version, status, attempts, claim/lease, failure and completion fields was found in the worker/platform inventory.",SCHEMA; CODE,JOB-005–008,NOT AUDITED,
JOB-M03,Background jobs,"Claim work atomically using row locks/skip-locked or equivalent lease semantics. Handle worker crash, lease expiry, long jobs, heartbeats, batch fairness, and duplicate execution.",MUST,P0,STATIC GAP INDICATED,"No worker process, atomic job claim path, lease/visibility-timeout semantics, or worker-health mechanism was found.",CODE; SCHEMA; CONCURRENCY TEST,JOB-009–013; TXN-009–015,NOT AUDITED,
JOB-M04,Background jobs,"Design handlers for at-least-once execution with local/provider idempotency, partial-completion markers, safe resume, and duplicate side-effect prevention.",MUST,P0,STATIC GAP INDICATED,"Domain-specific idempotency exists for payments/admin actions, but no general durable job execution framework or partial-completion/resume contract was found.",CODE; SCHEMA; FAILURE TEST,JOB-014–016,NOT AUDITED,
JOB-M05,Background jobs,"Classify retryable versus permanent failures, use bounded backoff with jitter and Retry-After where applicable, and treat network timeout with unknown provider outcome as reconciliation work rather than blind replay.",MUST,P0,STATIC GAP INDICATED,"No general worker retry scheduler, bounded backoff policy, or Retry-After-aware job retry implementation was found.",CODE; CONFIG; FAILURE TEST,JOB-017–020,NOT AUDITED,
JOB-M06,Background jobs,"Move exhausted, invalid, poison, or unsupported-version work into an operator-visible dead-letter state with safe repair and replay controls.",MUST,P1,STATIC GAP INDICATED,"No dead-letter state, poison-job handling, operator repair/replay surface, or unsupported-job-version handling was found.",CODE; UI; PROCESS,JOB-021–023,NOT AUDITED,
JOB-M07,Background jobs,"Define execution timeout, cancellation, deployment shutdown, lease release, scheduled-job singleton/duplicate-safe behavior, and version compatibility across rolling deployments.",MUST,P0,STATIC GAP INDICATED,"No deployed scheduler/worker shutdown, job timeout/cancellation, lease release, singleton schedule, or duplicate-safe schedule runner was found.",CODE; CONFIG; RUNTIME,"JOB-024–026; DEPLOY-002, 006, 008",NOT AUDITED,
JOB-M08,Background jobs,"Monitor pending count, oldest age, throughput, attempts, failures, dead letters, active workers, expired leases, and worker version. Alert on user/financial impact and maintain repair runbooks.",MUST,P0,STATIC GAP INDICATED,"Phase 1A lines 171-177 and Platform Foundation worker inventory: no worker metrics, backlog/oldest-age tracking, dead-letter monitoring, lease-expiry monitoring, dashboards, or alerts were found.",MONITORING; RUNTIME; PROCESS,JOB-027–028; OBS-007; IR-001–012,NOT AUDITED,
FE-M01,Frontend,"Produce deployable artifacts only with a verified Vite production build. Record mode, environment, API base URL, feature flags, base path, browser target, and release identity; never serve production with development or preview servers.",MUST,P0,MIXED / PARTIAL STATIC EVIDENCE,"Phase 1A general repository inventory line 62: API base URL defaults to local backend CONFIRMED frontend/src/lib/apiClient.js:1-35 | Venues/Images/Storage, Part 2 line 39: R2 public base URL / CDN variable storage config public media base no variable found N/A none found no usage found NOT FOUND IN SUBSYSTEM",CI; BUILD; RUNTIME,FE-001–005,NOT AUDITED,
FE-M02,Frontend,"Treat all VITE-prefixed/build-time values as public. Maintain a frontend configuration allowlist and scan the built bundle and source maps for secrets, localhost, wrong environment, and live/test provider mismatches.",MUST,P0,MIXED / PARTIAL STATIC EVIDENCE,"Platform and Operational Foundation, Part 2 line 75: Client-exposed vars Vite vars use VITE_ prefix Values are available to frontend bundle by Vite convention frontend/src/lib/firebase.js:4-10, frontend/src/lib/stripe.js:3, frontend/src/lib/apiClient.js:1-2 CONFIRMED | Platform and Operational Foundation, Part 2 line 49: Source maps Vite config No explicit sourcemap config found None Vite default behavior not asserted frontend/vite.config.js:1-7 NOT FOUND IN SUBSYSTEM",BUILD SCAN; CI,FE-002–003; FESEC-001–002; CI-005,NOT AUDITED,
FE-M03,Frontend,"Keep React effects and subscriptions cleanup-safe, use stable keys and state identity, and prevent state updates from stale or unmounted work.",MUST,P1,NOT YET MAPPED,"Platform and Operational Foundation, Part 2 line 38: Vite config defineConfig({ plugins: [react()] }) Uses React plugin only None Vite defaults otherwise frontend/vite.config.js:1-7 CONFIRMED | Phase 1A general repository inventory line 31: Frontend: React 19, React Router 7, Firebase client, Stripe.js, lucide-react, Vite CONFIRMED frontend/package.json:10-22, frontend/src/lib/firebase.js:1-15, frontend/src/lib/stripe.js:1-10",CODE; UNIT/COMPONENT TEST,FE-006–009,NOT AUDITED,
FE-M04,Frontend,"Use a central API-client policy for current tokens, request IDs, timeout/cancellation, safe retries, JSON/error handling, empty responses, and non-idempotent mutation protection.",MUST,P0,MIXED / PARTIAL STATIC EVIDENCE,"Platform and Operational Foundation, Part 2 line 44: Global API client apiRequest Adds Accept: application/json; parses non-OK JSON detail; 204 returns null Caller may pass extra options/headers Normalizes errors into ApiRequestError frontend/src/lib/apiClient.js:4-35 CONFIRMED | Platform and Operational Foundation, Part 2 line 114: API-client base behavior tests No direct apiClient unit test found N/A N/A Frontend test search NOT FOUND IN SUBSYSTEM",CODE; UNIT/INTEGRATION TEST,FE-010–012; FBAUTH-008; API-M12,NOT AUDITED,
FE-M05,Frontend,"Prevent stale and cross-user results through aborting/ignoring obsolete requests, identity-scoped cache keys, invalidation on logout/role/account changes, and guarded optimistic updates.",MUST,P0,MIXED / PARTIAL STATIC EVIDENCE,"Identity and Accounts, Part 2 line 14: Sign-out/logout account actions Firebase only Calls Firebase signOut, clears local auth state frontend/src/context/authProviderAccountActions.js:53-59 CONFIRMED | Venues/Images/Storage, Part 2 line 40: Cache-control setting storage upload object cache metadata no setting found N/A none found no usage found NOT FOUND IN SUBSYSTEM",CODE; BROWSER TEST,"FE-007, 011–014; FESEC-009–010",NOT AUDITED,
FE-M06,Frontend,"Treat client route guards and hidden controls as navigation only. Direct URL refresh, unknown routes, role changes, suspension, deletion, and redirect destinations must fail safely while backend authorization remains authoritative.",MUST,P0,STATIC EVIDENCE PRESENT,"Identity and Accounts, Part 2 line 68: Frontend guards vs backend authorization Frontend route guards are navigation controls only; backend dependencies/services provide repository-verifiable authorization. frontend/src/routes/RouteGuards.jsx:28-112; backend/services/auth_service.py:167-202 CONFIRMED | Phase 1A general repository inventory line 113: Frontend route guards redirect unauthenticated users CONFIRMED frontend/src/routes/RouteGuards.jsx:28-49",CODE; BROWSER TEST,FE-015–016; AUTHZ-008,NOT AUDITED,
FE-M07,Frontend,"Use server validation as authoritative. Forms must handle accessible field/form errors, unknown fields, double submission, unsaved changes, date/time, files, and sensitive actions without trusting hidden or disabled fields.",MUST,P1,MIXED / PARTIAL STATIC EVIDENCE,,CODE; COMPONENT/BROWSER TEST,FE-017–018; FESEC-006,NOT AUDITED,
FE-M08,Frontend,"Render untrusted content as escaped text by default. Any HTML/Markdown/rich text requires a reviewed sanitizer; dangerous DOM sinks, scriptable URL schemes, open redirects, and unsafe external-link behavior must be blocked.",MUST,P0,NOT YET MAPPED,"Platform and Operational Foundation, Part 2 line 40: HTML entry frontend/index.html Root div plus module script to src/main.jsx None Browser loads React entry frontend/index.html:9-12 CONFIRMED",CODE; SECURITY TEST,FESEC-003–007,NOT AUDITED,
FE-M09,Frontend,"Inventory and approve third-party JavaScript, pin and monitor dependencies, minimize data collection, and apply CSP/SRI or other controls where compatible. A provider script failure must not expose secrets or corrupt state.",MUST DECIDE,P1,NOT YET MAPPED,"Platform and Operational Foundation, Part 2 line 94: Data export scripts None found None None None None Operational script search NOT FOUND IN SUBSYSTEM",CODE; CONFIG; SUPPLY CHAIN,FESEC-011–012; SUPPLY-001–013,NOT AUDITED,
FE-M10,Frontend,"Minimize browser persistence of tokens, private messages, administrative data, payment client secrets, and presigned URLs. Clear identity-specific state on logout and user switch; use no-store for sensitive responses.",MUST,P0,MIXED / PARTIAL STATIC EVIDENCE,"Phase 1A general repository inventory line 128: R2 upload/read presigned URLs are supported CONFIRMED backend/services/r2_storage_service.py:145-192 | Venues/Images/Storage, Part 2 line 65: Venue images store object keys and return presigned read URLs; game images store direct image_url strings. Part 1 models/services; frontend uses both through buildMediaUrl CONFIRMED",CODE; BROWSER TEST,"FESEC-008–010, 013–014; SENS-008",NOT AUDITED,
FE-M11,Frontend,"Provide explicit loading, empty, stale, offline/network, unauthorized, deleted, processing, retryable-failure, and permanent-failure states. Avoid indefinite spinners and destructive retries.",MUST,P1,MIXED / PARTIAL STATIC EVIDENCE,,COMPONENT/BROWSER TEST,FE-010–014; UX-001,NOT AUDITED,
FE-M12,Frontend,"Adopt a documented accessibility target based on WCAG 2.2, normally AA unless a justified policy says otherwise. Verify semantic structure, keyboard operation, focus, dialogs, forms, status messages, contrast, reflow, zoom, reduced motion, and screen-reader behavior.",MUST DECIDE,P1,STATIC GAP INDICATED,"No documented WCAG target, automated accessibility gate, or dedicated accessibility test inventory was identified in the static reviews.",AUTOMATED + MANUAL ACCESSIBILITY TEST,UX-001–008,NOT AUDITED,
FE-M13,Frontend,"Define supported browsers and responsive behavior. Measure Core Web Vitals and route-specific performance using production builds, realistic devices/networks, image sizing, code splitting, and controlled third-party scripts. Source-map and telemetry exposure must be deliberate.",MUST DECIDE,P1,STATIC GAP INDICATED,"Platform Foundation, Part 2: no documented browser-support matrix, performance budget, Core Web Vitals instrumentation, route performance test, or production performance monitoring was found.",BUILD; LAB/FIELD PERFORMANCE; BROWSER TEST,UX-009–012; FESEC-013–014,NOT AUDITED,
TST-001,Testing and CI,"Maintain an explicit test taxonomy: unit, component, backend service, API integration, PostgreSQL integration, mocked browser, full-stack browser, provider sandbox/emulator, migration, concurrency, security, and production smoke tests.",MUST,P1,MIXED / CONFLICTING STATIC EVIDENCE,"Platform and Operational Foundation, Part 2 line 108: frontend/tests/unit/*.test.js Feature selector/data units, not platform API-client/base-url tests Node test Node assert, feature modules frontend/tests/unit/browseGamesSelectors.test.js:1-20, frontend/tests/unit/useInboxPageModel.test.js:1-12 CONFIRMED | Phase 1A general repository inventory line 182: Frontend tracked unit/e2e tests exist CONFIRMED frontend/tests/unit/..., frontend/tests/e2e/landing.spec.js",REPO; CI; PROCESS,TEST-001–004,NOT AUDITED,
TST-002,Testing and CI,Test user-visible behavior and domain invariants at the lowest useful layer without replacing integration coverage. Backend database tests must use PostgreSQL when PostgreSQL behavior matters.,MUST,P1,MIXED / PARTIAL STATIC EVIDENCE,"Database Foundation and Migrations, Part 2 line 177: CONFIRMED: platform notices use a PostgreSQL sequence and service-side nextval. | Platform and Operational Foundation, Part 2 line 114: API-client base behavior tests No direct apiClient unit test found N/A N/A Frontend test search NOT FOUND IN SUBSYSTEM",TEST CODE; CI,TEST-005–010,NOT AUDITED,
TST-003,Testing and CI,"Use Playwright semantic locators, web-first assertions, isolated contexts, deterministic state, controlled time, and useful traces/screenshots on failure. Avoid arbitrary sleeps and brittle CSS/XPath selectors.",MUST,P1,MIXED / PARTIAL STATIC EVIDENCE,"Platform and Operational Foundation, Part 2 line 53: Playwright web server frontend/playwright.config.js Starts Vite dev server for e2e config CI controls retries/reuse Test-only frontend/playwright.config.js:3-24 CONFIRMED | Phase 1A general repository inventory line 184: Frontend scripts include unit and Playwright e2e CONFIRMED frontend/package.json:11-14, frontend/playwright.config.js:1-24",TEST CODE; CI ARTIFACTS,TEST-011–014,NOT AUDITED,
TST-004,Testing and CI,"Separate mocked browser, full-stack, and provider-integration projects so their dependencies and guarantees are unmistakable. Provider tests must use emulator/test/sandbox resources and never production data or live charges.",MUST,P0,MIXED / PARTIAL STATIC EVIDENCE,"Platform and Operational Foundation, Part 2 line 108: frontend/tests/unit/*.test.js Feature selector/data units, not platform API-client/base-url tests Node test Node assert, feature modules frontend/tests/unit/browseGamesSelectors.test.js:1-20, frontend/tests/unit/useInboxPageModel.test.js:1-12 CONFIRMED | Need a Sub and Messaging, Part 2 line 47: NOT FOUND IN SUBSYSTEM: no dedicated frontend Need a Sub test file or browser/e2e test file was found under frontend/tests; only inbox unit tests surfaced.",TEST CONFIG; CI; PROVIDER,TEST-012–014; CI-013,NOT AUDITED,
TST-005,Testing and CI,"Cover authentication, revocation, account state, object/function/field authorization, cross-user substitution, stale roles, admin privilege removal, and direct API access.",MUST,P0,MIXED / PARTIAL STATIC EVIDENCE,"Admin/Moderation/Audit/Notices, Part 2 line 23: CORS_ALLOWED_ORIGINS, ENABLE_API_DOCS, ENABLE_DB_HEALTH FastAPI app Cross-origin API access and app/system route exposure Defaults handled in main.py backend/.env.example:6-8, README.md:32-34 backend/main.py:72-91, :114 CONFIRMED | Identity and Accounts, Part 2 line 82: Broad “authenticated user” wording The subsystem distinguishes get_current_app_user from require_active_user; account/profile access can differ from active product authorization. backend/services/auth_service.py:150-179; backend/tests/shared/authentication/test_active_user_dependency.py:166-209 C...",API/BROWSER TEST,TEST-015; FBAUTH runtime matrices; AUTHZ-001–020,NOT AUDITED,
TST-006,Testing and CI,"Cover payment success/failure/action/processing, duplicate checkout, webhook signature/replay/order, refund, credit, provider timeout, local/provider partial failure, and reconciliation using Stripe test mode.",MUST,P0,MIXED / PARTIAL STATIC EVIDENCE,Phase 1A general repository inventory line 194: README describes portfolio prototype deployment using Vercel/Render/Neon/Firebase/R2/Stripe test mode CONFIRMED README.md:1-67 | Phase 1A general repository inventory line 228: Stripe webhook dashboard endpoint and enabled events NOT REPOSITORY-VERIFIABLE,INTEGRATION/PROVIDER TEST,TEST-015; STRIPE/FIN runtime matrices,NOT AUDITED,
TST-007,Testing and CI,"Cover upload authorization, wrong type/size, malformed or decompression-heavy image, expired URL, wrong key, confirmation replay, processing failure, missing/orphan/deleted object, and cache behavior.",MUST,P0,STATIC GAP INDICATED,"Venue/Image Part 2 lines 131-145: only historical backend upload tests were found; no current frontend unit/e2e coverage for upload, primary selection, reorder, deletion, malformed-image processing, or orphan cleanup was found.",INTEGRATION/PROVIDER TEST,TEST-015; STORAGE runtime matrix,NOT AUDITED,
TST-008,Testing and CI,"Use deterministic concurrency tests for capacity, waitlists, duplicate provisioning, webhooks, refunds, credits, administrative actions, and job claiming.",MUST,P0,MIXED / PARTIAL STATIC EVIDENCE,"Phase 1A general repository inventory line 141: Admin money/payments/refunds/credits workflows CONFIRMED backend/routes/admin_money_routes.py:60-460 | Platform and Operational Foundation, Part 2 line 34: Scheduled/manual workflows/concurrency Not found N/A N/A No schedule, workflow_dispatch, or concurrency found N/A N/A N/A workflow scan NOT FOUND IN SUBSYSTEM",CONCURRENCY TEST,TEST-015; TXN-009–015; JOB-009–016,NOT AUDITED,
TST-009,Testing and CI,"Test the full migration chain from empty and production-like schemas, schema drift, data preservation, interruption/resume, old/new application overlap, and rollback/forward-fix behavior.",MUST,P0,MIXED / PARTIAL STATIC EVIDENCE,"Phase 1A general repository inventory line 92: Migration chain has 59 revisions CONFIRMED backend/alembic/versions/* | Platform and Operational Foundation, Part 2 line 96: Deployment rollback None found None None None None No provider/deploy config; migration history review out of scope NOT FOUND IN SUBSYSTEM",CI; MIGRATION REHEARSAL,TEST-016; MIG-001–014,NOT AUDITED,
TST-010,Testing and CI,"Use synthetic, non-production test data; isolate database, browser, auth, storage, provider objects, time, environment, and background workers. Tests must be order-independent and clean up after failure.",MUST,P1,MIXED / PARTIAL STATIC EVIDENCE,"Platform and Operational Foundation, Part 2 line 104: backend/tests/test_check_backend_tests.py Repository rule diagnostics with synthetic workflows Unit tests for checker Synthetic workflow text backend/tests/test_check_backend_tests.py:1012-1055 CONFIRMED | Need a Sub and Messaging, Part 2 line 47: NOT FOUND IN SUBSYSTEM: no dedicated frontend Need a Sub test file or browser/e2e test file was found under frontend/tests; only inbox unit tests surfaced.",TEST CONFIG; CI,TEST-017–019,NOT AUDITED,
TST-011,Testing and CI,"Treat retries as diagnostic aids, not defect masking. Track flaky tests with owner and expiry; retain sanitized artifacts and root-cause recurring failures. Use risk-based coverage rather than a universal percentage.",MUST DECIDE,P1,NOT YET MAPPED,"Database Foundation and Migrations, Part 2 line 186: CONFIRMED: the tree contains new untracked testing infrastructure and deleted legacy/top-level tests; current coverage claims must be based on the current non-legacy files and contracts, not old paths.",CI; PROCESS,TEST-020–022,NOT AUDITED,
TST-012,Testing and CI,Run CI from a clean reviewed revision with explicit Node/npm/Python/tool versions and frozen dependency resolution. Lockfile or dependency-manifest mismatch must fail.,MUST,P0,MIXED / PARTIAL STATIC EVIDENCE,"Platform and Operational Foundation, Part 2 line 27: Frontend CI Conditional on frontend changes Node 22 None npm ci, npm run lint, npm run build No secrets refs found npm cache using frontend/package-lock.json None .github/workflows/ci.yml:63-92 CONFIRMED | Phase 1A general repository inventory line 38: Separate Python lockfile NOT FOUND IN REPOSITORY No tracked lockfile found",CI CONFIG,CI-001–003,NOT AUDITED,
TST-013,Testing and CI,"Run noninteractive formatting, linting, type checks, secret scanning, dependency review, vulnerability analysis, tests, migration checks, production frontend build, and backend/container build. Required failures must block merge or release.",MUST,P0,MIXED / PARTIAL STATIC EVIDENCE,"Platform and Operational Foundation, Part 2 line 5: Frontend hosting docs README.md Documents frontend build command and output directory Documents frontend env variable names only None None None README.md:47-67 CONFIRMED docs | Platform and Operational Foundation, Part 2 line 16: Backend container None found None None None None None None None Static search for Dockerfile/compose files NOT FOUND IN SUBSYSTEM",CI CONFIG; REPORTS,CI-004–011,NOT AUDITED,
TST-014,Testing and CI,"Protect default/release branches with pull requests, required checks, review, controlled bypass, and workflow-change ownership. Untrusted forks must not receive protected secrets or deployment authority.",MUST,P0,EXTERNAL EVIDENCE REQUIRED,"Platform and Operational Foundation, Part 2 line 78: CI secret references No ${{ secrets.* }} found Workflow uses inline local test env names, not GitHub secrets .github/workflows/ci.yml:102-116; secret-ref search NOT FOUND IN SUBSYSTEM",REPO SETTINGS; CI SECURITY TEST,CI-012–014; SUPPLY-004–008,NOT AUDITED,
TST-015,Testing and CI,"Use least-privilege workflow permissions, safe event choice, no untrusted expression-to-shell interpolation, SHA-pinned third-party actions, protected environments, and short-lived OIDC credentials where supported.",MUST,P0,MIXED / PARTIAL STATIC EVIDENCE,Phase 1A general repository inventory line 37: Backend dependencies pinned in requirements.txt CONFIRMED backend/requirements.txt:1-32 | Phase 1A general repository inventory line 7: Working tree is dirty CONFIRMED git status --short,CI CONFIG; REPO SETTINGS,SUPPLY-004–009,NOT AUDITED,
TST-016,Testing and CI,"Inventory dependencies and build inputs, review updates and suppressions, scan source/container/OS packages, and revoke any exposed secret rather than merely delete it from the latest revision.",MUST,P0,MIXED / PARTIAL STATIC EVIDENCE,"Platform and Operational Foundation, Part 2 line 125: Docker/container support is absent in source config, except for the CI Postgres service container. Docker-file search; .github/workflows/ci.yml:99-112 CONFIRMED | Platform and Operational Foundation, Part 2 line 17: Frontend container None found None None None None None None None Static search NOT FOUND IN SUBSYSTEM",CI; PROCESS,SUPPLY-001–003; CI-005–007,NOT AUDITED,
TST-017,Testing and CI,"Identify immutable release artifacts by digest/version and retain evidence linking source, dependencies, SBOM/provenance where adopted, test results, approvals, and deployment. Signing and higher SLSA targets are risk-based.",MUST DECIDE,P1,STATIC GAP INDICATED,"Platform Foundation, Part 2: no immutable deployment artifact identity, artifact digest continuity, SBOM/provenance generation, signing, or deployment artifact verification was found.",CI; ARTIFACT REGISTRY; PROCESS,SUPPLY-010–013; DEPLOY-010,NOT AUDITED,
OPS-001,Operations,"Deploy frontend, API, workers, and scheduler as explicit responsibilities. API instances must be stateless for authoritative sessions, jobs, locks, uploads, and user data; shared durable services must hold cross-instance state.",MUST,P0,STATIC GAP INDICATED,Phase 1A lines 144-150 and Review 7 Parts 1-2: no worker/scheduler runtime or backend deployment configuration was found; only a frontend Vercel rewrite and README deployment notes exist.,ARCHITECTURE; CONFIG; RUNTIME,DEPLOY-002–003,NOT AUDITED,
